dev_id,datetime,battery,peopleCount,nonNegPeopleCount
dc500-3a9e,2023-07-12 06:00:00,3.64,0,0.0
dc500-3a9e,2023-09-25 23:00:00,3.64,0,0.0
dc500-3a9e,2023-09-26 01:00:00,3.64,500,500.0
dc500-3a9e,2023-09-27 00:00:00,3.64,558,58.0
dc500-3a9e,2023-10-05 01:00:00,3.62,0,0.0
dc500-3a9e,2023-10-05 03:00:00,3.63,6,6.0
dc500-3a9e,2023-10-05 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 15:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 17:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 18:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 19:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 21:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 22:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-11 18:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 19:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 21:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 17:00:00,3.64,6,0.0
