dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-09-25 03:00:00,3.2,,57.68,,23.86,
r712-313f,2023-09-25 04:00:00,3.2,0.0,53.67,-4.009999999999998,23.98,0.120000000000001
r712-313f,2023-09-25 05:00:00,3.2,0.0,53.54,-0.1300000000000025,23.79,-0.1900000000000012
r712-313f,2023-09-25 06:00:00,3.2,0.0,53.43,-0.1099999999999994,23.93,0.1400000000000005
r712-313f,2023-09-25 07:00:00,3.2,0.0,51.43,-2.0,23.22,-0.7100000000000009
r712-313f,2023-09-25 13:00:00,3.2,0.0,54.67,3.240000000000002,22.98,-0.2399999999999984
r712-313f,2023-09-25 14:00:00,3.2,0.0,54.81,0.1400000000000005,23.04,0.0599999999999987
r712-313f,2023-09-25 18:00:00,3.2,0.0,55.27,0.4600000000000008,23.17,0.1300000000000025
r712-313f,2023-09-25 20:00:00,3.2,0.0,55.41,0.1399999999999934,23.2,0.0299999999999975
r712-313f,2023-09-26 02:00:00,3.2,0.0,53.9,-1.509999999999998,23.25,0.0500000000000007
r712-313f,2023-09-26 03:00:00,3.2,0.0,52.54,-1.3599999999999994,24.11,0.8599999999999994
r712-313f,2023-09-26 04:00:00,3.2,0.0,53.43,0.8900000000000006,25.52,1.41
r712-313f,2023-10-02 21:00:00,3.2,,57.72,,19.32,
r712-313f,2023-10-02 22:00:00,3.2,0.0,62.41,4.689999999999998,21.36,2.039999999999999
r712-313f,2023-10-02 23:00:00,3.2,0.0,64.14,1.730000000000004,21.22,-0.1400000000000005
r712-313f,2023-10-03 00:00:00,3.2,0.0,67.61,3.469999999999999,21.43,0.2100000000000008
r712-313f,2023-10-03 01:00:00,3.2,0.0,70.27,2.6599999999999966,21.21,-0.2199999999999988
r712-313f,2023-10-03 02:00:00,3.2,0.0,74.5,4.230000000000004,20.24,-0.9700000000000024
r712-313f,2023-10-03 03:00:00,3.2,0.0,76.66,2.1599999999999966,19.43,-0.8099999999999987
r712-313f,2023-10-03 04:00:00,3.2,0.0,75.53,-1.1299999999999957,19.66,0.2300000000000004
r712-313f,2023-10-03 05:00:00,3.2,0.0,75.35,-0.1800000000000068,19.02,-0.6400000000000006
r712-313f,2023-10-03 07:00:00,3.2,0.0,78.67,3.3200000000000074,18.41,-0.6099999999999994
r712-313f,2023-10-03 09:00:00,3.2,0.0,84.68,6.010000000000005,17.7,-0.7100000000000009
r712-313f,2023-10-03 10:00:00,3.2,0.0,86.67,1.9899999999999949,17.55,-0.1499999999999985
r712-313f,2023-10-03 11:00:00,3.2,0.0,87.97,1.2999999999999972,17.44,-0.1099999999999994
r712-313f,2023-10-03 12:00:00,3.2,0.0,89.18,1.210000000000008,17.42,-0.0199999999999995
r712-313f,2023-10-03 16:00:00,3.2,0.0,95.19,6.009999999999991,16.49,-0.9300000000000032
r712-313f,2023-10-03 17:00:00,3.2,0.0,95.43,0.2400000000000091,16.06,-0.4299999999999997
r712-313f,2023-10-04 00:00:00,3.2,0.0,92.06,-3.3700000000000045,18.93,2.870000000000001
r712-313f,2023-10-04 01:00:00,3.2,0.0,90.17,-1.8900000000000008,20.17,1.240000000000002
r712-313f,2023-10-04 02:00:00,3.2,0.0,86.26,-3.9099999999999966,20.31,0.139999999999997
r712-313f,2023-10-04 03:00:00,3.2,0.0,85.23,-1.0300000000000011,20.66,0.3500000000000014
r712-313f,2023-10-04 04:00:00,3.2,0.0,84.58,-0.6500000000000057,20.57,-0.0899999999999998
r712-313f,2023-10-04 05:00:00,3.2,0.0,80.86,-3.719999999999999,20.45,-0.120000000000001
r712-313f,2023-10-04 06:00:00,3.2,0.0,80.02,-0.8400000000000034,20.26,-0.1899999999999977
r712-313f,2023-10-04 07:00:00,3.2,0.0,81.31,1.2900000000000065,19.35,-0.91
r712-313f,2023-10-04 08:00:00,3.2,0.0,86.19,4.879999999999996,18.67,-0.6799999999999997
r712-313f,2023-10-04 09:00:00,3.2,0.0,88.32,2.1299999999999955,18.43,-0.240000000000002
r712-313f,2023-10-04 11:00:00,3.2,0.0,84.45,-3.8699999999999903,17.55,-0.879999999999999
r712-313f,2023-10-04 13:00:00,3.2,0.0,89.57,5.11999999999999,17.81,0.259999999999998
r712-313f,2023-10-04 14:00:00,3.2,0.0,90.02,0.4500000000000028,18.05,0.240000000000002
r712-313f,2023-10-04 15:00:00,3.2,0.0,91.7,1.6800000000000068,18.12,0.0700000000000002
r712-313f,2023-10-04 16:00:00,3.2,0.0,90.82,-0.8800000000000097,18.19,0.0700000000000002
r712-313f,2023-10-04 17:00:00,3.2,0.0,92.47,1.6500000000000057,17.98,-0.2100000000000008
r712-313f,2023-10-04 19:00:00,3.1,-0.1,94.06,1.5900000000000034,18.0,0.0199999999999995
r712-313f,2023-10-04 22:00:00,3.2,0.1,94.3,0.2399999999999948,18.66,0.6600000000000001
r712-313f,2023-10-04 23:00:00,3.1,-0.1,93.53,-0.769999999999996,17.01,-1.6499999999999986
r712-313f,2023-10-05 01:00:00,3.2,0.1,87.68,-5.849999999999994,18.94,1.93
r712-313f,2023-10-05 02:00:00,3.2,0.0,85.87,-1.8100000000000025,19.63,0.6899999999999977
r712-313f,2023-10-05 03:00:00,3.2,0.0,83.17,-2.700000000000003,20.94,1.3100000000000025
r712-313f,2023-10-05 04:00:00,3.2,0.0,84.38,1.2099999999999935,20.4,-0.5400000000000027
r712-313f,2023-10-05 05:00:00,3.2,0.0,86.31,1.9300000000000068,20.28,-0.1199999999999974
r712-313f,2023-10-05 06:00:00,3.2,0.0,84.45,-1.8599999999999997,20.07,-0.2100000000000008
r712-313f,2023-10-05 07:00:00,3.1,-0.1,84.96,0.5099999999999909,19.52,-0.5500000000000007
r712-313f,2023-10-05 08:00:00,3.1,0.0,83.33,-1.6299999999999957,19.2,-0.3200000000000003
r712-313f,2023-10-05 09:00:00,3.1,0.0,82.89,-0.4399999999999977,18.8,-0.3999999999999986
