dev_id,datetime,peopleIn,peopleOut
vs121-7177,2023-11-16 04:00:00,0,3
vs121-7177,2023-11-16 05:00:00,20,39
vs121-7177,2023-11-16 06:00:00,8,8
vs121-7177,2023-11-16 07:00:00,4,4
vs121-7177,2023-11-16 19:00:00,0,0
vs121-7177,2023-11-16 20:00:00,4,5
vs121-7177,2023-11-16 21:00:00,10,13
vs121-7177,2023-11-16 22:00:00,2,2
vs121-7177,2023-11-16 23:00:00,63,23
vs121-7177,2023-11-17 00:00:00,88,63
vs121-7177,2023-11-17 01:00:00,76,76
vs121-7177,2023-11-17 02:00:00,35,72
vs121-7177,2023-11-17 03:00:00,25,19
vs121-7177,2023-11-17 04:00:00,36,52
vs121-7177,2023-11-17 05:00:00,30,32
vs121-7177,2023-11-17 06:00:00,7,5
vs121-7177,2023-11-17 07:00:00,0,0
vs121-7177,2023-11-17 19:00:00,0,0
vs121-7177,2023-11-17 20:00:00,4,3
vs121-7177,2023-11-17 21:00:00,2,5
vs121-7177,2023-11-17 22:00:00,2,2
vs121-7177,2023-11-17 23:00:00,49,25
vs121-7177,2023-11-18 00:00:00,88,56
vs121-7177,2023-11-18 01:00:00,147,107
vs121-7177,2023-11-18 02:00:00,137,130
vs121-7177,2023-11-18 03:00:00,62,98
vs121-7177,2023-11-18 04:00:00,96,85
vs121-7177,2023-11-18 05:00:00,38,71
vs121-7177,2023-11-18 06:00:00,2,3
vs121-7177,2023-11-18 07:00:00,0,0
vs121-7177,2023-11-18 19:00:00,0,0
vs121-7177,2023-11-18 20:00:00,5,5
vs121-7177,2023-11-18 21:00:00,0,0
vs121-7177,2023-11-18 22:00:00,1,0
vs121-7177,2023-11-18 23:00:00,47,25
vs121-7177,2023-11-19 00:00:00,99,70
vs121-7177,2023-11-19 01:00:00,131,100
vs121-7177,2023-11-19 02:00:00,112,113
vs121-7177,2023-11-19 03:00:00,88,94
vs121-7177,2023-11-19 04:00:00,100,61
vs121-7177,2023-11-19 05:00:00,40,111
vs121-7177,2023-11-19 06:00:00,1,1
vs121-7177,2023-11-19 07:00:00,0,0
vs121-7177,2023-11-19 19:00:00,0,0
vs121-7177,2023-11-19 20:00:00,16,15
vs121-7177,2023-11-19 21:00:00,7,10
vs121-7177,2023-11-19 22:00:00,10,12
vs121-7177,2023-11-19 23:00:00,27,35
vs121-7177,2023-11-20 00:00:00,49,41
vs121-7177,2023-11-20 01:00:00,51,30
vs121-7177,2023-11-20 02:00:00,39,46
vs121-7177,2023-11-20 03:00:00,58,54
vs121-7177,2023-11-20 04:00:00,16,21
vs121-7177,2023-11-20 05:00:00,20,30
vs121-7177,2023-11-20 06:00:00,0,0
vs121-7177,2023-11-20 07:00:00,1,0
vs121-7177,2023-11-20 19:00:00,0,0
vs121-7177,2023-11-20 20:00:00,10,9
vs121-7177,2023-11-20 21:00:00,10,11
vs121-7177,2023-11-20 22:00:00,4,2
vs121-7177,2023-11-20 23:00:00,24,15
vs121-7177,2023-11-21 00:00:00,63,39
vs121-7177,2023-11-21 01:00:00,58,62
vs121-7177,2023-11-21 02:00:00,92,98
vs121-7177,2023-11-21 03:00:00,47,42
vs121-7177,2023-11-21 04:00:00,26,43
vs121-7177,2023-11-21 05:00:00,18,38
vs121-7177,2023-11-21 06:00:00,5,4
vs121-7177,2023-11-21 07:00:00,0,0
vs121-7177,2023-11-21 19:00:00,0,0
vs121-7177,2023-11-21 20:00:00,5,4
vs121-7177,2023-11-21 21:00:00,10,14
vs121-7177,2023-11-21 22:00:00,2,3
vs121-7177,2023-11-21 23:00:00,21,15
vs121-7177,2023-11-22 00:00:00,28,15
vs121-7177,2023-11-22 01:00:00,64,63
vs121-7177,2023-11-22 02:00:00,27,29
vs121-7177,2023-11-22 03:00:00,10,29
vs121-7177,2023-11-22 04:00:00,35,20
vs121-7177,2023-11-22 05:00:00,27,40
vs121-7177,2023-11-22 06:00:00,1,2
vs121-7177,2023-11-22 07:00:00,0,0
vs121-7177,2023-11-22 19:00:00,0,0
vs121-7177,2023-11-22 20:00:00,5,3
vs121-7177,2023-11-22 21:00:00,9,10
vs121-7177,2023-11-22 22:00:00,4,5
vs121-7177,2023-11-22 23:00:00,43,19
vs121-7177,2023-11-23 00:00:00,34,29
vs121-7177,2023-11-23 01:00:00,62,62
vs121-7177,2023-11-23 02:00:00,53,44
vs121-7177,2023-11-23 03:00:00,58,62
vs121-7177,2023-11-23 04:00:00,44,61
vs121-7177,2023-11-23 05:00:00,28,25
vs121-7177,2023-11-23 06:00:00,5,9
vs121-7177,2023-11-23 07:00:00,0,0
